品目コード,品目テキスト,伝票登録日,発注登録予定日,納入期日,数量,基本数量単位,仕入先コード,仕入先名称,手配番号/明細,調達タイプ,指図番号,工程番号,処理日
W23844ZA051201,ポペツト,25/09/17,25/08/26,25/09/02,1.000 ,PC,NVAA102609,（株）旭製作所,2796711714,F,,,
W2387222335701,SCM415 39.7X352,25/09/17,25/08/05,25/08/22,18.000 ,PC,NVAA113067,（株）ISSリアライズ,2796849808,F,,,
W2387222335601,SCM415 39.7X317,25/09/17,25/08/05,25/08/22,12.000 ,PC,NVAA113067,（株）ISSリアライズ,2796849807,F,,,
WP0576038,アナツキボルト (M12X85),25/09/17,25/09/01,25/09/08,50.000 ,PC,NVAA192918,（株）互省製作所,2796757330,F,,,
WK3501726,ハウジング(ET25）,25/09/17,25/09/12,25/09/29,2.000 ,PC,NVAA193491,（株）コヤマ,2796752809,F,,,
WK3501726,ハウジング(ET25）,25/09/17,25/09/16,25/09/30,2.000 ,PC,NVAA193491,（株）コヤマ,2796752810,F,,,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902252/00010,E,300010787941,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902250/00010,E,300010787939,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902249/00010,E,300010787938,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902247/00010,E,300010787936,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902246/00010,E,300010787935,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902224/00010,E,300010787933,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902223/00010,E,300010787932,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902221/00010,E,300010787930,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA193574,是常精工株式会社,1113902220/00010,E,300010787929,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA193574,是常精工株式会社,1113902218/00010,E,300010787927,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA193574,是常精工株式会社,1113902216/00010,E,300010787925,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA193574,是常精工株式会社,1113902215/00010,E,300010787924,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA193574,是常精工株式会社,1113902183/00010,E,300010787922,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA193574,是常精工株式会社,1113902182/00010,E,300010787921,0010,
WP0831010,メイバン,25/09/17,25/09/03,25/09/18,3.000 ,PC,NVAA214112,発注先要確認,2796621399,F,,,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA254429,大成工業（株）,1113902217/00010,E,300010787926,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA254429,大成工業（株）,1113902184/00010,E,300010787923,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/09/30,5.000 ,PC,NVAA254429,大成工業（株）,1113902219/00010,E,300010787928,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA254429,大成工業（株）,1113902222/00010,E,300010787931,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA254429,大成工業（株）,1113902245/00010,E,300010787934,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA254429,大成工業（株）,1113902248/00010,E,300010787937,0010,
W23691222233MC,キリカエブタイ(SLV75EP)AH(中間加工品),25/09/18,,25/10/01,5.000 ,PC,NVAA254429,大成工業（株）,1113902251/00010,E,300010787940,0010,
W2369122172901,RM キリカエブタイ(SLV75EP)A,25/09/17,25/09/11,25/09/26,15.000 ,PC,NVAA315099,丹羽鋳造（株）,2796847645,F,,,
W2369122172901,RM キリカエブタイ(SLV75EP)A,25/09/17,25/09/12,25/09/29,75.000 ,PC,NVAA315099,丹羽鋳造（株）,2796847646,F,,,
W2369122172901,RM キリカエブタイ(SLV75EP)A,25/09/17,25/09/16,25/09/30,15.000 ,PC,NVAA315099,丹羽鋳造（株）,2796847647,F,,,
W2369122172901,RM キリカエブタイ(SLV75EP)A,25/09/17,25/09/17,25/10/01,15.000 ,PC,NVAA315099,丹羽鋳造（株）,2796847648,F,,,
WP3508122,マニホ-ルド UZ36 (キジユンカコウヒン),25/09/17,25/09/17,25/09/29,4.000 ,PC,NVAA373263,福島製鋼（株）,2796773795,F,,,
W2239417081001,フイルタ-オサエパイロツトブロツク,25/09/17,25/09/17,25/09/23,6.000 ,PC,NVAA390811,（株）豊国製作所,2796623104,F,,,
